,aus,ban,fin,rom,tur,rand
asŋ,0.0,0.0,0.0,0.0,0.0,3.0
ata_,0.1178343949044586,0.3566878980891719,0.1050955414012738,0.4140127388535032,0.0063694267515923,0.0
ata,0.5803212851405622,0.1977911646586345,0.072289156626506,0.0702811244979919,0.0793172690763052,0.0
atb_,0.0,0.0,0.0,0.0,0.0,3.0
atb,0.0,0.15,0.0,0.0,0.15,0.7
atc_,0.0,0.0,0.0,0.0,0.0,3.0
atc,0.0,0.0,0.0,0.0,0.6,0.4000000000000001
atd_,0.0,0.0,0.0,0.0,0.0,3.0
atd,0.0,0.0,0.0,0.0,0.0,3.0
ate_,0.0222222222222222,0.0814814814814814,0.1407407407407407,0.7407407407407407,0.0148148148148148,0.0
ate,0.0985915492957746,0.1971830985915492,0.2863849765258216,0.3615023474178404,0.056338028169014,0.0
atf_,0.0,0.0,0.0,0.0,0.0,3.0
atf,0.0,0.0,0.0,0.0,0.0,3.0
